Name,Description
Static Wall Pull-Backs,"How to Perform this E-cise™

Lie on your back with your legs pointed straight up and against the wall, upper body relaxed with arms out to sides at about 45 degrees and palms facing up.
When getting into this position, get your hips as close as possible to the wall, so once you are in position your butt is also as close as possible to the wall.
If your hips are lifting off the floor then scoot your butt back until you are able to place your hips flat. As you get more functional, your hips will sit closer to the wall and be flat on the floor at the same time.
In this position tighten your thighs and pull your toes down and back toward your hips.
Your feet must be pointed straight for your hips to properly do the needed work to stabilize your spine.
Pull the heel of one leg off the wall 2 to 4 inches and return it to the wall.
The heel is moved off the wall with the front hip muscles doing the work.
The key is not to use your upper body for help and to also NOT push the other leg into the wall for leverage.
Switch legs and repeat as directed on your menu.

Fun Facts

This exercise promotes bilateral hip and lumbar flexion to re-establish the muscular chain between the trunk and pelvis."
Standing Knee Pillow Squeezes,"How to Perform this E-cise™

Stand with your feet pointing straight and hip width apart.
Place a pillow between your knees and using your inner thighs, squeeze and release the pillow evenly.
Do not use your abdominal muscles or upper body; both should remain relaxed throughout the e-cise.
Repeat as directed on your menu.

Fun Facts

This exercise promotes stabilization of the pelvis with proper position of all the load joints."
Hooklying Isolated Hip Flexor Lifts,"How to Perform this E-cise™

Lie on your back with your knees bent and your feet flat on the floor pointed straight ahead.
Place a towel under your lower back if instructed to do so on your menu.
Place arms out to sides at a 45 degree angle with palms up.
Keep your upper body relaxed throughout the e-cise.
Lift the heel off the floor on the non moving leg thoughout the set.
Lift the opposite foot 3 to 6 inches off the floor and then return it back to the floor.
Keep the knee of the foot you are lifting in line with the shoulder and the foot in line with the knee.
Switch legs and continue.
Repeat as directed on your menu.

Fun Facts

Promotes unilateral hip flexor engagement for both hip flexion and stabilization."
Sitting Isolated Hip Flexor Lifts,"How to Perform this E-cise™

Sit in the middle of a chair with your feet pointed straight ahead, 4-6 inches apart.
Let your arms hang down at your sides.
Roll your hips forward to place an arch in your low back.
Lift one foot 4 to 6 inches off the floor and then lower; repeat as directed on your menu.
Use your front hip muscles to generate the movement.
Maintain the arch in your back, keeping your hips rolled forward throughout the e-cise.
It may be beneficial to sit facing a mirror to observe if your upper body is offsetting away from the working leg/hip--do not let this happen.
Switch sides and repeat as directed on your menu.

Fun Facts

This exercise promotes proper function of the lumbar erectors for stabilization through unilateral hip demand."
Sitting Heel Raises w/ Strap,"How to Perform this E-cise™

Sit in the middle of a chair with your feet pointed straight ahead, 4-6 inches apart.
Place a strap around your knees and apply constant pressure outward against the strap.
Roll your hips forward to place an arch in your low back and hold throughout the exercise.
Lift your heels off the floor using your front hip muscles to generate the movement and then lower them back to the floor.
Repeat as directed on your menu.

Fun Facts

The exercise promotes bilateral primary hip flexion demand to transfer workload from lumbar spine to muscle of the hip and pelvis."
Sitting Heel Raises w/ Pillow,"How to Perform this E-cise™

Sit in the middle of a chair with your feet pointed straight ahead, 4-6 inches apart.
Place a pillow between your knees and apply gentle pressure inward, just enough to hold the pillow in place.
Roll your hips forward to place an arch in your low back and hold throughout the exercise.
Lift your heels off the floor using your front hip muscles to generate the movement and then lower them back to the floor.
Repeat as directed on your menu.

Fun Facts

The exercise promotes bilateral primary hip flexion demand to transfer workload from lumbar spine to muscle of the hip and pelvis."
Supine Gluteal Contractions,"How to Perform this E-cise™

Lie on your back with your knees bent and your feet pointed straight ahead, arms out at 45 degrees with palms up
Your upper body should be relaxed
Squeeze and release your buttocks muscles without contracting your stomach/abdominal muscles
Repeat as directed on your menu

Fun Facts

Promotes hip stabilization through engagement of the hip extensors"
Decline Airbench,"How to Perform this E-cise™

Stand with your back against a wall and your feet parallel and pointing straight ahead
Your hips, upper back and head should be flat against the wall
Walk your feet 1.5 to 2 feet away from the wall
Bend your knees and slide your back down the wall
Slide down until your hips are 2 to 4 inches below your knees
Interlace your fingers together behind your head with your elbows pulled back against the wall
Put pressure in your heels and lift your toes up off the floor
At this point your lower back should be pushed back into the wall
Hold this position as directed on your menu

Fun Facts

This exercise promotes pelvic stabilization along with proper function of the primary and secondary hip flexor muscle groups."
Sitting Elbow Curls w/ Pillow,"How to Perform this E-cise™

Sit on the edge of a chair with your feet pointed straight ahead
Roll your hips forward to place an arch in your low back
Place a block or pillow between your knees and press gently with just enough pressure to hold the pillow in place
Place your hands into the golfer's grip on your temples
Hold this starting position; then pull your elbows away from each other to force your upper back muscles to create the work
Do not lose your hip position; keep them rolled forward and maintain the arch in your low back
Pull your elbows back and them close them together in front of your face
Keep your elbows up at shoulder level, do not let them drop down
Repeat as directed on your menu

Fun Facts

This exercise promotes bilateral pelvic extension and proper function between the upper and lower body"
Sitting Elbow Curls w/ Strap,"How to Perform this E-cise™

Sit in the middle of a chair with your feet pointed straight ahead, 4-6 inches apart.
Roll your hips forward to place an arch in your low back.
Place a strap around your knees and apply constant pressure outward against the strap throughout the e-cise.
Place your hands into the golfer's grip on your temples.
Do not lose your hip position; keep them rolled forward and maintain the arch in your low back.
Pull your elbows back and then close them together in front of your face.
Keep your elbows up at shoulder level, do not let them drop down.
Repeat as directed on your menu

Fun Facts

This exercise is the perfect warm-up for the chicken dance at your next wedding."
Static Back Abductor Presses,"How to Perform this E-cise™

Lie on your back with your legs up over a block or chair.
Place a strap around your legs just above the knees.
Place your arms out to the sides at 45 degrees from your body with palms up.
Relax your stomach and upper back.
Try to pull your knees apart by applying pressure outward against the strap, then release.
Repeat as directed on your menu.

Fun Facts

This exercise promotes hip stabilization bilaterally. This Static Back position creates horizontal load between shoulder and pelvis, which contributes to thoracic extension by engaging the stabilizers and flexors of the hip. This position helps prevent compensation from occurring while performing other types of muscular work."
Static Back Elbow Abduction,"How to Perform this E-cise™

Lie on your back with your legs up over a large block or chair, knees bent at 90 degrees.
Relax your legs, back and stomach.
Place a strap around your arms just above your elbows.
Place your knuckles on your temples with your hands in the golfer's grip position so that your elbows are pointed straight up toward the ceiling.
Press out sideways against the strap, then release.
Repeat as directed on your menu.

Fun Facts

This exercise promotes stability at the shoulder girdle to encourage thoracic extension. This Static Back position creates horizontal load between shoulder and pelvis, which contributes to thoracic extension by engaging the stabilizers and flexors of the hip. This position helps prevent compensation from occurring while performing other types of muscular work."
Supine Double Switch-No Lift,"How to Perform this E-cise™

Lie on your back with both legs straight and flat on the floor, arms at a 45 degree angle to body, palms up.
Place a pillow or small block between your knees and strap around your ankles.
Flex your toes back toward your hips bending at the ankle joint.
Push inward on the pillow and pull outward on the strap simultaneously.
If you find it difficult to do them at the same time, squeeze in on the pillow first and hold, then try to push out on the strap, release both at the same time..
Keep your upper body relaxed.
Repeat as directed on your menu.

Fun Facts

This exercise promotes stabilization of the hip joint."
Supine Double Double-No Lift,"How to Perform this E-cise™

Lie on your back with both legs straight and flat on the floor, arms at a 45 degree angle to body, palms up.
Place strap around your knees and a pillow or small block between your feet and ankles.
Flex your toes back toward your hips bending at the ankle joint.
Push outward on the strap and squeeze inward on the pillow/block simultaneously.
If you find it difficult to do them at the same time, pull out on the strap first and hold, then try to squeeze in on the pillow, release both at the same time.
Keep your upper body relaxed.
Repeat as directed on your menu.

Fun Facts

This exercise promotes stabilization of the hip joint."
Supine Femur Rotations,"How to Perform this E-cise™

Lie on your back with your knees bent, arms out to sides at 45 degrees with palms facing up.
Straighten one leg out while keeping the other leg bent.
On the straight leg, tighten your thigh and pull your toes back and HOLD.
Rotate your leg and foot in and out with the hip muscles initiating the movement.
DO NOT rotate just the foot - the entire leg should be moving in and out while keeping the thigh tight and toes pulled back.
Be sure to relax your upper body.
Switch legs and repeat as directed on your menu.

Fun Facts

This exercise promotes stabilization of the hip, pelvis, and lumbar spine."
In-Line Gluteal Contractions,"How to Perform this E-cise™

Stand with your feet in-line with each other so that the toes of the foot behind are touching the heel of the foot in front.
If your menu directs you to do so, stand with 2-3 inches between the toes of your back foot and heel of your front foot.
It is very important that your feet remain pointed straight ahead through out the e-cise.
In this position, squeeze and release your buttocks muscles, keeping your thighs and stomach muscles relaxed.
Repeat as directed on your menu.
Switch sides and repeat.

Fun Facts

Promotes lateral hip stability in a vertically loaded position."
Static Wall w/ Splits,"How to Perform this E-cise™

Lie on your back with your legs pointed straight up and against the wall, upper body relaxed with arms out to sides at about 45 degrees and palms facing up.
When getting into this position, get your hips as close as possible to the wall, so once you are in position your butt is also as close as possible to the wall.
If your hips are lifting off the floor then scoot your butt back until you are able to place your hips flat. As you get more functional, your hips will sit closer to the wall and be flat on the floor at the same time.
Split your legs, allowing them to drop down to the sides, as far as you can without causing pain.
You will feel your inner thighs pulling/stretching.
In this position tighten your thighs and pull your toes down and back toward you.
Your feet must be pointed straight for your hips to properly do the needed work to stabilize your spine.
Hold as directed on your menu.
Be sure to keep your toes pulled back and thighs tight.

Fun Facts

This exercise promotes bilateral hip and lumbar flexion to re-establish the muscular chain between the trunk and pelvis with an emphasis on pelvic stability and erector engagement."
Floor/Knee Block,"How to Perform this E-cise™

Lie on your stomach with your forehead and nose flat on the floor
Place your knees and elbows onto 6 inch inflatable blocks or stacks of books
Your arms should be above your head, straight out from your shoulders
Your feet should be in the air and relaxed
If 6 inches is too much demand, lower the height of the blocks to allow for a more comfortable position
Relax your lower body and stomach so that you feel the front of your hips falling toward the floor
Lock your elbows and point your thumbs toward each other in the golfer's grip
Your fingers should be curled in so they just touch your palms
Rotate your thumbs to point at the ceiling with the movement coming from your shoulders
Hold this position as directed on your menu

Fun Facts

This exercise forces extension of the thoracic back and pelvis."
Wishbone,"How to Perform this E-cise™

Lie on your stomach with your forehead resting on your clasped hands.
Bend your knees to bring your heels up toward your buttocks/hips.
Pull your toes downward toward the floor with the front ankle muscles.
Pull your ankles/heels away from each other, keeping your knees together.
Remember to keep your upper back and shoulders relaxed throughout the e-cise.
Hold as directed on your menu.

Fun Facts

Proper gait mechanics requires that our femurs can rotate internally and externally."
Wall Towels Knee Pillow Squeezes,"How to Perform this E-cise™

Stand at a wall with your feet pointed straight and hip width apart
Your heels should be about 3 inches from the wall
Your head, upper back and butt should be against the wall
Place a roll behind your low back and another behind your neck
Place a small block or pillow between your knees
Press your inner knees/thighs into the pillow and then release
Do not bend your knees
Remember to keep your upper back/shioulders and stomach muscles relaxed throughout the e-cise
Repeat as directed on your menu

Fun Facts

This exercise promotes the four load joint design of the body while educating the spine to its proper curve"
Wall Towels Gluteal Contractions,"How to Perform this E-cise™

Stand at a wall with your feet pointed straight and hip width apart
Your heels should be about 3 inches from the wall
Your head, upper back and butt should be against the wall
Place a roll behind your low back and another behind your neck
Squeeze and release your buttocks muscles
Do not squeeze so hard as to cause your hips to come off the wall
Remember to keep your shoulders and upper back relaxed
Repeat as directed on your menu

Fun Facts

This exercise promotes the four load joint design of the body while educating the spine to its proper curve"
Wall Towels Scapular Contractions,"How to Perform this E-cise™

Stand at a wall with your feet pointed straight and hip width apart
Your heels should be about 3 inches from the wall
Your head, upper back and butt should be against the wall
Place a roll behind your low back and another behind your neck
Squeeze together and then release your shoulder blades
Repeat as directed on your menu

Fun Facts

This exercise promotes the four load joint design of the body while educating the spine to its proper curve"
Triangle,"How to Perform this E-cise™

Stand with your back to a wall.
Your heels should be up against the wall and your feet pointed straight ahead.
Now turn one foot outward and take a 2-3 foot step sideways so that foot ends up parallel to and about 3 inches out from the wall.
Lift your arms so they are straight out from your shoulders, keeping them against the wall.
Your palms should be facing out (backs of hands against the wall) and fingers spread.
Rotate your hips so that both buttocks are against the wall.
Now slide your hips sideways over the foot that did not move and then slide your upper body and arms the opposite direction.
Bend sideways from the waist so that one hand/arm comes down to the parallel foot and the other hand/arm goes straight up the wall.
Look up, tighten your thighs and HOLD.
Be sure that your hips stay against the wall.
Hold as directed on your menu.
Switch sides and repeat.

Fun Facts

This exercise promotes proper unilateral hip function."
Lying Supine w/ Pillow,"How to Perform this E-cise™

Lie on your back with both legs straight and flat on the floor.
Place a pillow or small block between your ankles/feet.
Flex your toes back toward your hips bending at the ankle joint.
Try to keep your upper body relaxed, with arms at a 45 degree angle to body, palms up.
Keep your thighs relaxed.
Hold as directed on your menu.

Fun Facts

This E-cise uses the floor as a plumb surface. This assists in removing rotation, as well as developing proper joint position."
Sleeper Stretch,"How to Perform this E-cise™

Lie on your side in the fetal position
Place your chin onto the bottom shoulder
Place the upper hand onto the wrist of the lower hand
Pull the bottom hand toward the floor while pressing your chin into the bottom shoulder to help stabilize it
Hold as directed on your menu

Fun Facts

This e-cise promotes unilateral scapular stabilization."
Sitting Overhead Extension,"How to Perform this E-cise™

Sit in the middle of a chair with your feet pointed straight ahead, 4-6 inches apart.
Roll your hips forward to place an arch in your low back.
Interlace your fingers together and reach your arms overhead, pressing your hands to the ceiling with palms up.
Look up toward your hands and keep your arms straight, do not bend at the elbow.
Hold as directed on your menu.

Fun Facts

This exercise promotes bilateral pelvic extension and encourages proper function of the upper body in relation to the lower body."
Sitting Cats & Dogs,"How to Perform this E-cise™

Sit in the middle of a chair with your feet pointed straight ahead, 4-6 inches apart.
Your arms can hang loosely to the sides, or be placed in your lap.
For the CAT position: Roll your hips backward to take the arch out of the back.
For the DOG position: Roll your hips forward to place the arch into your low back.
Slowly move back and forth between the Cat and Dog positions.
Repeat as directed on your menu.

Fun Facts

This exercise promotes flexion and extension of the entire spine by initiating pelvic flexors and extensors."
Full Bridge,"How to Perform this E-cise™

Lie on your back with your knees bent and your feet pointed straight ahead
Place your hands on the ground just above your shoulders with your fingers pointed toward your feet
Bridge your hips and back up off the floor into an arch
Hold this position as directed on your menu

Fun Facts

This exercise forces full extension of the spine and hip."
Shoulder Bridges w/ Strap,"How to Perform this E-cise™

Lie on your back with your knees bent, with a strap around your knees/thighs
Keep your arms out to your sides with your palms up
Lift your hips up off the floor as high as they will go and keep constant pressure against the strap at your knees
Remember to keep your feet pointed straight ahead and relax your shoulders.
Repeat as directed on your menu

Fun Facts

This exercise promotes proper bilateral extension of pelvis and spine."
Rotator Cuff Series 1,"How to Perform this E-cise™

Stand with your feet pointed straight ahead, hip width apart, your arms at your side, with your hands in the golfer's grip position
The tips of your fingers should be curled into your palms, with your thumbs extended
Your palms should be facing your thighs with your thumbs pointing toward each other
Slightly squeeze your shoulder blades together and hold throughout the e-cise
Lift your arms straight out to your side up to shoulder level with your thumbs pointing down, then lower your arms to the start position
Repeat as directed on menu

Fun Facts

This series of exercises promotes proper function of the shoulder girdle and its stabilizers"
Roller Coasters,"How to Perform this E-cise™

Start in the downward dog position
Your hands and feet are on the floor
Pike at the waist, keeping your knees straight and inline with your hips
Keep your thighs tight
Bend your arms lowering your chest toward the floor
Keep an arch in your back
Skim your chin, then chest, then your stomach on the floor as your roll forward into the elevated cobra position
In the elevated cobra position your elbows should be straight and your hands should be slightly wider than shoulder width apart
Allow your shoulder blades to collapse together
Your hips should now be up off the floor by one to two inches
During the entire motion your knees should never touch the floor
Now pull your hips up into the downward dog position as your stomach, then your chest, then your chin skim the floor in a reverse of the first motion
Repeat as directed on your menu

Fun Facts

This exercise promotes thoracic extension under extreme pelvic and lumbar demand"
Isolated Hamstring Stretch,"How to Perform this E-cise™

Lie on your back with arms out to sides, palms up, near a doorway with your buttocks as close to the doorway as possible
Put one leg up on the wall, keeping the leg straight
Your other leg should extend through the doorway, supported on a block (or step-stool, etc.)
Relax the leg supported by the block, while the leg on the wall has the thigh tight and the toes pulled back
You should feel a stretch in the back of the leg that is on the wall
As the stretch on your leg decreases you should feel your back settle into the floor
Relax your upper body
Incrementally lower the supported leg as directed on your menu
Switch sides and repeat

Fun Facts

Promotes unilateral hip engagement"
Full Sit-Ups,"How to Perform this E-cise™

Lie on your back with your knees bent.
Place your feet on the floor (parallel and hip width apart) with someone or something holding your ankles/feet onto the floor as you perform the sit-up.
Interlace your hands behind your head.
Look up and back toward the ceiling.
Keep your elbows back.
Keep your back straight as you sit-up and slowly lower yourself down to the floor without losing the straight back position.
The muscles in the front of your hips will be doing the work to pull you up.
Repeat as directed on your menu.

Fun Facts

This exercise repositions the pelvis and encourages proper lumbar extension."
Forearm Stretch,"How to Perform this E-cise™

Stand facing a wall about 6 inches away from the wall, with your feet pointed straight ahead.
Place your palms against the wall with your fingers pointing toward the floor.
You should have about a 90 degree angle in your elbows.
Lean your body slowly closer to the wall without moving your feet.
Your ankles, knees, hips and shoulders should remain aligned at all times.
Your shoulder blades should glide together as you move toward the wall.
Hold this position as directed on your menu.

Fun Facts

It is not often that we get wrist extension in daily activity. This E-cise is introducing this position. Remember: ""If you don't use it, you lose it."""
Flutter Kicks,"How to Perform this E-cise™

Lie on your back on the floor with both legs straight, hip width apart
Place your hands under your hips (as if you were sitting on them) with your palms down
Lift your upper body and elbows up off the floor about 3 inches
Hold this position throughout the e-cise
Flex your feet, pulling your toes back so they are pointed toward the ceiling
Begin lifting one foot at a time up off the floor at a pretty good rate of speed, kicking your feet up and down
Repeat the kicking motion with your feet flexed as directed on your menu
Now point your toes forward and continue kicking them up and down at a pretty good rate of speed
Repeat the kicking motion with your feet pointed as directed on your menu

Fun Facts

This exercise encourages proper function of the hip flexor muscles while maintaining alignment of the ankle, knee, and hip."
Drape,"How to Perform this E-cise™

Kneel down facing the large block or an ottoman.
Drape your upper body and stomach area over the block/ottoman.
Trail your arms on the side of the block/ottoman and drop your head.
Breathe and hold this position allowing all of your back musculature to react to this new position.

Fun Facts

This exercise promotes flexion of the spine."
Diva Pose,"How to Perform this E-cise™

Sit on the floor with both knees bent and pointed in the same direction.
One knee and thigh will be turned inward with the inner thigh and knee on the floor.
This foot should be as far out from the body as possible.
The knee of the internally rotated leg should be touching the bottom foot of the other leg.
The other leg will be turned outward with the outer thigh touching the floor.
Place your hands behind you and use them for stability as needed.
Roll your hips forward to place an arch in your low back.
Be sure to maintain this arch in your back throughout the e-cise.
Try to get both hips onto the floor without losing the correct back position.
Hold as directed on your menu.
Switch sides and repeat.

Fun Facts

This exercise promotes extension of the lumbar spine and forces full range of motion at the hip joints."
Doorknob Stretch,"How to Perform this E-cise™

Stand perpendicular to a doorway.
Your feet should be directly below your hips and pointed straight ahead.
Squat down by rolling your pelvis forward to place a stable arch in your low back.
Hold this position throughout the e-cise.
With the outside arm, reach across your body to grab the door handle or door frame.
Place the inside arm on the small of your low back with the palm facing the ceiling.
Twist your upper body (only) away from the door by pulling the inside elbow away from the door.
Look behind you, over the shoulder of the inside arm to extend the twist.  Keep your knees in their starting position, parallel and pointed forward, hip width apart.
Hold as directed on your menu, then switch sides.

Fun Facts

This exercise promotes trunk rotation with pelvic stabilization."
Hooklying Arm Glides,"How to Perform this E-cise™

Lie on your back with your knees bent and feet flat on the floor pointed straight ahead
Keeping your arms on the floor, raise both arms up until they are directly out from the shoulder
Bend your elbows to create a 90 degree angle, with the back of your hands on the floor
Glide both arms up until they are straight up from the shoulder and hold there for five seconds
Be careful not to over reach and twist your torso
Return both arms to the bent arm position
Repeat as directed on your menu

Fun Facts

Promotes bilateral scapular rotation"
Lunges,"How to Perform this E-cise™

Stand with both feet pointed straight ahead, and your arms down at your sides.
Hold weights in your hands if directed to do so on your menu.
Take a large stride forward.
Stay balanced as you allow your body to lunge forward and down.
Step far enough forward so that when you lunge forward your lunging knee is directly over your foot, and the other knee can just barely touch the floor.
Lift yourself back to the beginning position.
Feet together, hip width apart, pointed straight ahead.
Switch legs and repeat.
Continue alternating legs and repeat as directed on your menu.

Fun Facts

This exercise strengthens all the muscles of the pelvic girdle."
Modified Floor Block,"How to Perform this E-cise™

Lie on your stomach with your forehead on the floor
Your feet should be pigeon-toed and your buttocks relaxed
Elevate your bent arms 4 to 9 inches by placing your forearms and elbows on blocks
Breathe and relax your upper body
Hold as directed on your menu

Fun Facts

This exercise promotes passive pelvic and lumbar extension by changing the position of the upper back"
Wall Frog w/ Pull-over,"How to Perform this E-cise™

Lie on your back with your hips up against the wall
Place the bottom of your feet together against the wall and let your hips and knees drop out to the side
The sides of your feet should now be against the wall
Keep your tailbone in contact with the floor, scoot out from the wall if your tailbone comes off the floor
Reach arms straight up above your chest, elbows locked and hands clasped together
Now lower your hands down to the floor above your head
Do not contract your abdominal muscles, keep the stomach and lower back relaxed
Do not let your arms bend at the elbow, keep them straight throughout the e-cise
If you are unable to lower your hands all the way to the floor behind you, go only as low as you are able while maintaining the straight arm position
Return to the starting position and repeat as directed on your menu

Fun Facts

The movement of this exercise contributes to pelvic extension through lateral hip demand"
Wall Frog w/ Pull-over Presses,"How to Perform this E-cise™

Lie on your back with your hips up against a wall
Place the bottom of your feet together against the wall and let your hips and knees drop out to the side
The sides of your feet should now be against the wall
Keep your tailbone in contact with the floor, scoot out from the wall if your tailbone comes off the floor
Place a small pillow/block above your head
Interlace your fingers and extend your arms straight overhead to rest on the pillow/block
Make sure to keep your palms together and your elbows locked
Use your shoulders (not your arms) to press down and release on the block
Repeat as directed on your menu

Fun Facts

This exercise promotes spinal extensor demand to assist in pelvic extension through lateral hip demand"
Wall Frog,"How to Perform this E-cise™

Lie on your back with your hips up against the wall.
Place the bottom of your feet together against the wall and let your hips and knees drop out to the side.
The sides of your feet should now be against the wall.
Keep your tailbone in contact with the floor, scoot out from the wall if your tailbone comes off the floor.
Place your arms out to the side at 45 degrees with palms up.
Keep your stomach, neck and back relaxed.
Hold as directed on your menu.

Fun Facts

This exercise promotes pelvic extension through lateral hip demand."
Standing Wall Clock,"How to Perform this E-cise™

Stand facing a wall with toes pointed inward (pigeon-toed) and your forehead against the wall.
Position 1: Raise your arms directly overhead.
Relax your stomach to allow your hips to tilt forward.
Make a golfer's grip with your hands (fingers curled toward the palm, thumbs out).
Rotate your thumbs/arms outward from the shoulder (moving the back of your hand toward the wall).
Hold for 1 minute (or as directed on your menu).
Position 2: Move your hands down to 45 degrees.
Repeat the outward rotation with your arms from the shoulders.
Hold for 1 minute (or as directed on your menu).
Position 3: Move your arms down to 90 degrees (straight out from your shoulders, parallel to floor).
Repeat the outward rotation with your arms from the shoulders.
Hold for 1 minute (or as directed on your menu).
Repeat the entire sequence as directed on your menu.

Fun Facts

This exercise promotes extension throughout the body with proper alignment of the load joints."
Upper Spinal Floor Twist,"How to Perform this E-cise™

Lie on one side in the fetal position with your arms straight out from your shoulders in front of you.
Stack your knees one directly atop the other, where they should remain throughout the e-cise.
Open the top arm, lifting it up and over your body to the other side letting it rest to the floor or as close to the floor as you are able.
Move your head to look in the same direction as that arm.
Do NOT let your knees come apart while moving the arm to the other side.
Use your bottom hand to hold your knees together and keep them stacked on top of one another.
Remember to breathe.
Allow your body to open up.
Hold as directed on your menu.
Switch sides and repeat.

Fun Facts

This exercise promotes upper torso rotation to engage the pelvic girdle stabilization response."
Towel Settle w/ Pillow,"How to Perform this E-cise™

Lie on your back with your knees bent and feet flat on the floor pointed straight at hip width.
Place a pillow between your knees and apply constant, gentle pressure.
Place a roll/towel under your low back (behind your belly-button) and under your neck.
Relax arms at 45 degrees from sides with palms facing up and breathe through the stomach/diaphragm.
Allow your body to settle on the rolls.
Stay in this position as directed on your menu.

Fun Facts

This exercise re-educates the proper position of the spinal curves."
Supine Groin Stretch w/ Towels,"How to Perform this E-cise™

Lie on your back in the supine groin position with one leg straight out on the floor and the other leg on a block or a chair with the knee bent at 90 degrees.
Place a 2-3 inch roll behind your neck and low back.
It's very important that the straight leg is propped vertically by something heavy so the toes point to the ceiling.
Place your arms on the floor, 45 degrees from your body with the palms facing up. Relax your legs and upper body.
Ask your Therapist about the thigh test.
Switch legs and repeat.

Fun Facts

Sitting for extended periods throughout the day causes a number of negative side effects to our posture, including loss of our designed spinal curves and short and tight groin muscles.  This E-cise helps to reverse the negative effects caused from sitting all day.  The Towels help to re-educate our spine of it's natural ""S"" curve."
Supine Groin Progressive-Modified,"How to Perform this E-cise™

Lie on the floor with one leg up over a block or chair, bent to 90 degrees.
Your arms should be out to your sides at 45 degrees with palms facing up.
Place your foot on the stairs or step stool(keep toes pointing to the ceiling) starting at the step advised by your therapist or at the level where an arch begins to form in your lower back.
Relax your upper body and let your body adjust at each new level.
Hold as directed on your menu or until your back is flat on the floor.
Pay more attention to the flattening of your back than the specified time.
Lower your foot one step on the stairs and again hold.
Continue this until your leg is extended straight out on the lowest step, unless directed to do otherwise by your therapist.
Switch legs and repeat the entire sequence.

Fun Facts

This exercise promotes an elongation of the hip and groin muscles. The effect of this action will create a chain reaction of muscular response in the upper body."
Supine Calf & Hamstring Stretch,"How to Perform this E-cise™

Lie on your back with your knees bent
Position 1: Take a strap or belt and loop it under the ball of one foot
Firmly holding the ends of the strap, straighten that leg and PULL YOUR TOES DOWN toward your hips to feel a stretch in the calf or back of your lower leg
The straight leg should be lined up with the bent knee.
Keep your thigh/quad tight and toes pulled back
Your upper body should be relaxed throughout the e-cise, shoulders back on the floor
Position 2: Loop the strap under the heel of the straight leg
Pull back on the strap so your leg points towards the ceiling, you will feel a stretch in the back of your thigh.  Keep your thigh tight and TOES RELAXED.
Do NOT let the hip lift up off the floor
Hold as directed on your menu (30 to 60 seconds)
Switch legs and repeat both positions

Fun Facts

This exercise promotes unilateral lumbar engagement with emphasis on using pelvic flexors."
Static Wall w/ Lumbar Roll,"How to Perform this E-cise™

Lie on your back with your legs pointed straight up and against the wall, upper body relaxed with arms out to sides at about 45 degrees and palms facing up
Place a support roll or towel at the small of your lower back, right behind your belly button
Your hips should rest to the floor around the roll. If they do not hit the floor, move away from the wall as far as needed until they do
In this position tighten your thighs and pull your toes down and back toward you
Your feet must be pointed straight for your hips to properly do the needed work to stabilize your spine
Hold as directed on your menu
Be sure to keep your toes pulled back and thighs tight and upper body relaxed

Fun Facts

This exercise promotes thoracic extension while limiting the rotation ability of the lower load joints with emphasis on increased mid thoracic extension"
Static Wall Femur Rotations,"How to Perform this E-cise™

Lie on your back with your legs pointed straight up and against the wall, upper body relaxed with arms out to sides at about 45 degrees and palms facing up.
When getting into this position, get your hips as close as possible to the wall, so once you are in position your butt is also as close as possible to the wall.
If your hips are lifting off the floor then scoot your butt back until you are able to place your hips flat. As you get more functional, your hips will sit closer to the wall and be flat on the floor at the same time.
In this position tighten your thighs and pull your toes down and back toward you.
Your feet must be pointed straight for your hips to properly do the needed work to stabilize your spine.
Rotate your legs/feet in and out using the hips to initiate the movement.
Be sure to keep your toes pulled back and your thighs tight.
Be sure your upper body remains relaxed.
Repeat as directed on your menu.
There are 3 positions for this e-cise: (1) Legs straight up, the beginning position (2) out about 25 degrees (3) out further to about 50 degrees.

Fun Facts

This exercise promotes thoracic extension while limiting the rotation ability of the lower load joints with an emphasis on hip stability."
Static Extension,"How to Perform this E-cise™

Kneel on a large block with your hands on the floor ahead of you.
Keep your elbows locked straight and move your hips 3 inches ahead of your knees.
Allow your low back to arch with the movement coming from the tilt of your pelvis.
Your shoulder blades should collapse together and your elbows need to remain straight.
Drop your head and HOLD this position. If your low back begins to hurt, back your hips up toward your knees. This will make the exercise a bit easier.

Fun Facts

This exercise promotes lumbar and thoracic extension through bilateral hip demand."
Static Ankle Squeezes,"How to Perform this E-cise™

Start on your hands and knees with your wrists directly under your shoulders and your knees directly under your hips
Place a pillow/block between your feet/ankles.
Walk your hands about 6 inches forward and then move your upper body forward so that your shoulders are again above your wrists so your hips are now forward of your knees about 6 inches.
Roll your hips forward to put an arch in your back and collapse your shoulder blades together.
Keep your elbows locked straight, fingers should be pointed forward.
Drop your head and completely relax your abdominals.
Focus on deep breathing while not allowing your shoulder blades to pull away from each other.
While keeping your knees where they are gently squeeze and release the pillow with your entire inner foot, from heel to toe.
Continue as directed on your menu.

Fun Facts

This e-cise promotes the relationship of the muscles and joints throughout the spine while promoting hip stabilization."
